FID     IID     AGE     EUR  
0       HGDP00988       27     0.02 
0       HGDP00991       52     0.01 
0       HGDP00992       45     0.02 
0       HGDP00993       43     0.01 
0       HGDP00994       42     0.02 
0       HGDP01028       54     0.03 
0       HGDP01029       71     0.02 
0       HGDP01030       20     0.02 
0       HGDP01031       27     0.02 
0       HGDP01032       32     0.02 
0       HGDP01033       22     0.01 
0       HGDP01034       69     0.02 
0       HGDP01035       21     0.05 
0       HGDP01036       65     0.01
